Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Wonen,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Energielabel,Isolatie,Verwarming,Postal Code,Link,Keurmerken,Toegankelijkheid,Soort garage
€ 400.000 k.k.,€ 4.396,11 oktober 2019,Beschikbaar,In overleg,€ 128 per maand,Galerijflat (appartement),Bestaande bouw,2006,Plat dak bedekt met bitumineuze dakbedekking,91 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,3e woonlaag,Elektra,A Wat betekent dit?,Geen isolatie,Stadsverwarming,1087DM,https://www.funda.nl/koop/amsterdam/appartement-41420853-talbotstraat-207/?navigateSource=resultlist,-,-,-
€ 300.000 k.k.,€ 3.846,12 oktober 2019,Beschikbaar,In overleg,€ 172 per maand,Bovenwoning (appartement),Bestaande bouw,1964,Plat dak bedekt met bitumineuze dakbedekking,78 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,15e woonlaag,TV kabel en lift,E Wat betekent dit?,Dubbel glas,Blokverwarming,1064EB,https://www.funda.nl/koop/amsterdam/appartement-41420751-burgemeester-hogguerstraat-777/?navigateSource=resultlist,-,-,-
€ 325.000 k.k.,€ 6.373,12 oktober 2019,Beschikbaar,In overleg,€ 106 per maand,Tussenverdieping (appartement),Bestaande bouw,1915,Zadeldak bedekt met pannen en bitumineuze dakbedekking,51 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer,Toilet,1 woonlaag,2e woonlaag,TV kabel,D Wat betekent dit?,Dubbel glas,Cv-ketel,1092GX,https://www.funda.nl/koop/amsterdam/appartement-87884381-laing-s-nekstraat-36-i/?navigateSource=resultlist,Energie Prestatie Advies,-,-
€ 375.000 k.k.,€ 4.688,11 oktober 2019,Beschikbaar,In overleg,€ 283 per maand,Bovenwoning (appartement),Bestaande bouw,1961,Plat dak bedekt met bitumineuze dakbedekking,80 m²,8 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Elektra,C Wat betekent dit?,Dubbel glas,Stadsverwarming,1082GP,https://www.funda.nl/koop/amsterdam/appartement-41428710-hellenburg-11/?navigateSource=resultlist,-,-,-
€ 325.000 k.k.,€ 5.909,11 oktober 2019,Beschikbaar,In overleg,€ 85 per maand,Benedenwoning (appartement),Bestaande bouw,1923,Mansarde dak bedekt met bitumineuze dakbedekking en pannen,55 m²,55 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Begane grond,-,E Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1073LA,https://www.funda.nl/koop/amsterdam/appartement-87882314-david-blesstraat-6-hs/?navigateSource=resultlist,-,-,-
€ 300.000 k.k.,€ 5.357,2 weken,Beschikbaar,In overleg,€ 50 per maand,Bovenwoning (appartement met open portiek),Bestaande bouw,1940,Plat dak bedekt met bitumineuze dakbedekking,56 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,3e woonlaag,Mechanische ventilatie,D Wat betekent dit?,Dubbel glas,Cv-ketel,1055AX,https://www.funda.nl/koop/amsterdam/appartement-87857893-griseldestraat-28-2/?navigateSource=resultlist,-,-,-
€ 395.000 k.k.,€ 3.950,2 weken,Beschikbaar,In overleg,€ 124 per maand,Galerijflat (appartement),Bestaande bouw,2009,Plat dak bedekt met bitumineuze dakbedekking,100 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,1 woonlaag,1e woonlaag,Elektra,A Wat betekent dit?,Dubbel glas en volledig geïsoleerd,"Stadsverwarming, gehele vloerverwarming en warmte terugwininstallatie",1087EN,https://www.funda.nl/koop/amsterdam/appartement-41490934-ijburglaan-999/?navigateSource=resultlist,-,Toegankelijk voor gehandicapten en toegankelijk voor ouderen,-
€ 265.000 k.k.,€ 3.354,2 weken,Beschikbaar,In overleg,€ 94 per maand,Bovenwoning (appartement),Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,79 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,4e woonlaag,Mechanische ventilatie en TV kabel,C Wat betekent dit?,Dubbel glas,Cv-ketel,1064PG,https://www.funda.nl/koop/amsterdam/appartement-41490906-catharina-boudewijnshof-79/?navigateSource=resultlist,-,-,-
€ 275.000 k.k.,€ 3.274,3 weken,Beschikbaar,In overleg,€ 225 per maand,Galerijflat (appartement),Bestaande bouw,1967,Plat dak bedekt met bitumineuze dakbedekking,84 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,11 woonlagen,5e woonlaag,Elektra,D Wat betekent dit?,Volledig geïsoleerd en dubbel glas,Blokverwarming,1024AL,https://www.funda.nl/koop/amsterdam/appartement-87827597-jisperveldstraat-237/?navigateSource=resultlist,-,-,-
€ 350.000 k.k.,€ 4.070,4 weken,Beschikbaar,In overleg,€ 183 per maand,Bovenwoning (appartement),Bestaande bouw,1994,Plat dak bedekt met bitumineuze dakbedekking,86 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,3e woonlaag,"Mechanische ventilatie, TV kabel, lift, schuifpui en glasvezelkabel",C Wat betekent dit?,Dubbel glas en volledig geïsoleerd,Cv-ketel,1066RA,https://www.funda.nl/koop/amsterdam/appartement-41469586-kempenlaan-88/?navigateSource=resultlist,-,-,-
