Name,Link,Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Wonen,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Energielabel,Isolatie,Verwarming,Postal Code,Keurmerken,Toegankelijkheid,Soort garage,Postal Code Generic,PostalCode,Latitude,Longitude,Price,Sale type,Price per m2,Surface
Talbotstraat 207,https://www.funda.nl/koop/amsterdam/appartement-41420853-talbotstraat-207/?navigateSource=resultlist,€ 400.000 k.k.,€ 4.396,11 oktober 2019,Beschikbaar,In overleg,€ 128 per maand,Galerijflat (appartement),Bestaande bouw,2006,Plat dak bedekt met bitumineuze dakbedekking,91 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,3e woonlaag,Elektra,A Wat betekent dit?,Geen isolatie,Stadsverwarming,1087DM,-,-,-,1087,1087DM,52.35794,4.99516,400000,K.K.,4396,91
Burgemeester Hogguerstraat 777,https://www.funda.nl/koop/amsterdam/appartement-41420751-burgemeester-hogguerstraat-777/?navigateSource=resultlist,€ 300.000 k.k.,€ 3.846,12 oktober 2019,Beschikbaar,In overleg,€ 172 per maand,Bovenwoning (appartement),Bestaande bouw,1964,Plat dak bedekt met bitumineuze dakbedekking,78 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,15e woonlaag,TV kabel en lift,E Wat betekent dit?,Dubbel glas,Blokverwarming,1064EB,-,-,-,1064,1064EB,52.3725,4.83004,300000,K.K.,3846,78
Laing's Nekstraat 36 I,https://www.funda.nl/koop/amsterdam/appartement-87884381-laing-s-nekstraat-36-i/?navigateSource=resultlist,€ 325.000 k.k.,€ 6.373,12 oktober 2019,Beschikbaar,In overleg,€ 106 per maand,Tussenverdieping (appartement),Bestaande bouw,1915,Zadeldak bedekt met pannen en bitumineuze dakbedekking,51 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer,Toilet,1 woonlaag,2e woonlaag,TV kabel,D Wat betekent dit?,Dubbel glas,Cv-ketel,1092GX,Energie Prestatie Advies,-,-,1092,1092GX,52.35506,4.92386,325000,K.K.,6373,51
Laing's Nekstraat 40 I,https://www.funda.nl/koop/amsterdam/appartement-40195460-laing-s-nekstraat-40-i/?navigateSource=resultlist,€ 315.000 k.k.,€ 6.300,6+ maanden,Verkocht onder voorbehoud,In overleg,€ 106 per maand,Portiekwoning (appartement),Bestaande bouw,1915,-,50 m²,7 m²,4 kamers (3 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,2e woonlaag,Elektra,"C 1,64 Wat betekent dit?",Dubbel glas,Cv-ketel,1092GX,Energie Prestatie Advies,-,-,1092,1092GX,52.35506,4.92386,315000,K.K.,6300,50
Hellenburg 11,https://www.funda.nl/koop/amsterdam/appartement-41428710-hellenburg-11/?navigateSource=resultlist,€ 375.000 k.k.,€ 4.688,11 oktober 2019,Beschikbaar,In overleg,€ 283 per maand,Bovenwoning (appartement),Bestaande bouw,1961,Plat dak bedekt met bitumineuze dakbedekking,80 m²,8 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Elektra,C Wat betekent dit?,Dubbel glas,Stadsverwarming,1082GP,-,-,-,1082,1082GP,52.32638,4.87948,375000,K.K.,4688,80
David Blesstraat 6 hs,https://www.funda.nl/koop/amsterdam/appartement-87882314-david-blesstraat-6-hs/?navigateSource=resultlist,€ 325.000 k.k.,€ 5.909,11 oktober 2019,Beschikbaar,In overleg,€ 85 per maand,Benedenwoning (appartement),Bestaande bouw,1923,Mansarde dak bedekt met bitumineuze dakbedekking en pannen,55 m²,55 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Begane grond,-,E Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1073LA,-,-,-,1073,1073LA,52.34953,4.9021300000000005,325000,K.K.,5909,55
Griseldestraat 28 2,https://www.funda.nl/koop/amsterdam/appartement-87857893-griseldestraat-28-2/?navigateSource=resultlist,€ 300.000 k.k.,€ 5.357,2 weken,Beschikbaar,In overleg,€ 50 per maand,Bovenwoning (appartement met open portiek),Bestaande bouw,1940,Plat dak bedekt met bitumineuze dakbedekking,56 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,3e woonlaag,Mechanische ventilatie,D Wat betekent dit?,Dubbel glas,Cv-ketel,1055AX,-,-,-,1055,1055AX,52.37673,4.84893,300000,K.K.,5357,56
IJburglaan 999,https://www.funda.nl/koop/amsterdam/appartement-41490934-ijburglaan-999/?navigateSource=resultlist,€ 395.000 k.k.,€ 3.950,2 weken,Beschikbaar,In overleg,€ 124 per maand,Galerijflat (appartement),Bestaande bouw,2009,Plat dak bedekt met bitumineuze dakbedekking,100 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,1 woonlaag,1e woonlaag,Elektra,A Wat betekent dit?,Dubbel glas en volledig geïsoleerd,"Stadsverwarming, gehele vloerverwarming en warmte terugwininstallatie",1087EN,-,Toegankelijk voor gehandicapten en toegankelijk voor ouderen,-,1087,1087EN,52.36169,4.9832800000000015,395000,K.K.,3950,100
IJburglaan 851,https://www.funda.nl/koop/amsterdam/appartement-41420937-ijburglaan-851/?navigateSource=resultlist,€ 375.000 k.k.,€ 3.989,12 oktober 2019,Beschikbaar,In overleg,€ 156 per maand,Bovenwoning (appartement),Bestaande bouw,2009,Plat dak bedekt met bitumineuze dakbedekking,94 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Toilet,1 woonlaag,3e woonlaag,"Glasvezelkabel, lift, mechanische ventilatie en TV kabel",A Wat betekent dit?,Volledig geïsoleerd,Stadsverwarming,1087EN,-,-,Parkeerkelder en parkeerplaats,1087,1087EN,52.36169,4.9832800000000015,375000,K.K.,3989,94
IJburglaan 1051,https://www.funda.nl/koop/amsterdam/appartement-40377241-ijburglaan-1051/?navigateSource=resultlist,€ 385.000 k.k.,€ 4.096,3 maanden,Verkocht onder voorbehoud,In overleg,€ 118 per maand,Bovenwoning (appartement),Bestaande bouw,2009,Plat dak bedekt met bitumineuze dakbedekking,94 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,4e woonlaag,"Lift, mechanische ventilatie en TV kabel",A Wat betekent dit?,Volledig geïsoleerd,Stadsverwarming,1087EN,-,-,-,1087,1087EN,52.36169,4.9832800000000015,385000,K.K.,4096,94
