PostalCode,Latitude,Longitude
1506TX,52.437721,4.8162400000000005
1506DW,52.441280000000006,4.819
1506GM,52.44714000000001,4.81923
1506GB,52.44714000000001,4.81923
1506DV,52.441280000000006,4.819
1087DM,52.35794,4.99516
1087EN,52.36169,4.9832800000000015
1087HT,52.35217,5.00602
1087KN,52.35217,5.00257
1087KC,52.35717,4.99655
1087KD,52.3541,5.00284
1087KP,52.35217,5.00257
1087AZ,52.35965,4.98971
1087EH,52.35717,4.99655
1087KH,52.35578,4.9969800000000015
1087EK,52.35578,4.9969800000000015
1087VA,52.34904,5.01405
1087LC,52.35096,5.00833
1087LN,52.35024,5.00973
1087LG,52.3498,5.00822
1187ED,52.27226,4.83648
1503WN,52.44133000000001,4.8423
1503WD,52.45296,4.83566
2151MG,52.26427,4.63316
2151NB,52.27009,4.62046
1087AM,43.60763,-90.19658000000001
2151AA,52.2673,4.62868
1567JP,52.4893,4.7524
1567LD,52.4945,4.75634
1567BH,52.48956999999999,4.7510900000000005
1567LH,52.49457,4.75335
1441DH,52.50923,4.9499699999999995
1441HJ,52.50246,4.94874
1441KT,52.510659999999994,4.9387
1441DK,52.50714,4.95431
1441DX,52.509809999999995,4.945069999999999
1441CA,52.50969,4.94843
1947HL,52.48715,4.66627
2037RS,52.35426,4.6581800000000015
2037RR,52.35497,4.66389
2037EB,52.35946,4.65932
2037XZ,52.36058,4.657369999999999
1069ZR,52.36047,4.7918699999999985
1069CL,52.35652,4.79758
1069GA,52.36047,4.7918699999999985
1069LK,52.35484,4.791919999999998
1069KD,52.35253,4.79654
1069KE,52.35253,4.79654
1069KA,52.35256,4.79815
1069HM,52.355059999999995,4.79586
1069SR,52.35128,4.79902
1121CL,52.42519,4.91064
1121RM,52.42715,4.90542
1456CA,52.50821,4.91517
1061VX,52.36321,4.84049
1061WB,52.3664,4.84088
1061XZ,52.36936,4.84552
1061SE,52.366640000000004,4.8373
1061BD,52.38078,4.8395199999999985
1061AM,52.36714,4.83542
1067XX,52.37749,4.80318
1067HD,52.38156,4.79772
1067DZ,52.38048,4.80393
1067JR,52.3781,4.8011
1067JK,52.37924,4.80045
1067XW,52.37549,4.81954
1067MX,52.37133,4.8013900000000005
2032SB,52.376999999999995,4.64964
1521DS,52.49079,4.796869999999998
1946SJ,52.49531999999999,4.67162
1946ZK,52.49304,4.67536
1068PM,52.36608,4.80987
1068ZV,52.36487,4.80278
1068ZW,52.3642,4.8027
1102SV,52.31716,4.94886
1102ST,52.31628,4.946609
1102AX,52.317809,4.955611
1507EM,52.441052,4.8096440000000005
1507EC,52.441476,4.8109
2012BX,52.370342,4.634195
1363DR,52.348683,5.141885
1363CJ,52.344877000000004,5.149558
1363BE,52.347056,5.152682
1363CN,52.344507,5.145282
1363DB,52.347772,5.1473260000000005
1363SC,52.35861,5.154655
1363DJ,52.349447,5.146033999999998
1363CG,52.34556,5.147928
1363DN,52.348192,5.143071
1363KE,52.350919,5.143749
1363BX,52.350648,5.152153
1363BB,52.348871,5.154772
1363LW,52.35316,5.138074
1363VV,52.35315900000001,5.155101
1363DE,52.348419,5.145389
1363DA,52.347504,5.14473
1363KJ,52.35103,5.139973
1363TR,52.35452100000001,5.149133999999999
1363AL,12.194274,-68.249092
1363CC,52.345348,5.152286
1363XA,52.352372,5.157927
1363BM,52.346117,5.14804
1363XH,52.352051,5.155566
1363TG,52.356382,5.147784
1363KK,12.194274,-68.249092
1363CE,52.34571500000001,5.149178
1363DK,52.349145,5.143964
1363CK,52.345415,5.1513620000000016
1363DD,52.348031,5.1456
1363XJ,52.351455,5.155146
1363DH,52.348745,5.147641
1363WL,52.354123,5.148327
1104EA,52.319005,4.979117
1104VA,52.313978999999996,4.9810669999999995
1967HG,52.49596500000001,4.68933
1944RW,52.49228299999999,4.656372
1944TW,52.494784,4.653772
1945TS,52.496425,4.668584
1992JG,52.426076,4.664993
1941BM,52.48204000000001,4.655376
1941CB,52.483408,4.6584400000000015
1502XK,52.442643999999994,4.832085
1502NX,52.45279100000001,4.821436
1502GW,52.441425,4.824736
1502BS,52.448641,4.822124
1502VH,52.44344399999999,4.825
1063KX,52.379877,4.819346
1975CD,52.461116000000004,4.591775
1531EH,52.49581,4.814108
1319DS,52.395066,5.172929
1319AW,52.388194,5.1796419999999985
1319ED,52.391560999999996,5.176488
1381NA,52.306835,5.0360559999999985
1971HH,52.45434300000001,4.628138
1971XD,52.456298,4.617271
1973RA,52.45937900000001,4.605316999999999
1211NV,52.22475,5.1814589999999985
1211LB,52.221424,5.169415
1112CM,52.337731,4.956383
1112WX,52.330366,4.960158
1112WT,52.330758,4.960733
1112ZA,52.330086,4.96033
1112ZK,52.329006,4.962371
1094KS,52.36253,4.936689
1221CG,52.229831,5.187723
1221NE,52.229608,5.182526
1073ER,52.352947,4.899929
1073GJ,52.352817,4.9001790000000005
1055AB,52.376852,4.84713
1566EM,52.479302000000004,4.74961
1361BG,52.33991,5.138048
2033WL,52.380168,4.662046
2033TB,52.375441,4.659426
2033MZ,52.370658,4.649839
1448KH,52.50634399999999,4.9384190000000014
1448NC,52.495020999999994,4.939072
1448LD,52.50958000000001,4.9397410000000015
1448NZ,52.492339,4.935009
1448NX,52.494026,4.9362080000000015
1448KR,52.50404200000001,4.939522
1448XB,52.493949,4.926282
1448KS,52.503108999999995,4.938021
1103JX,52.322527,4.972099
1103JT,52.321442,4.968903
1103TT,52.321981,4.972857
1103TV,52.322841,4.975622
1103TX,52.32256,4.974883
1974NK,52.448009,4.596666
1974SG,52.447116,4.592414
1171KB,52.331792,4.796638
1171AE,52.338703,4.771879
1098WS,52.343646,4.950876999999998
1098XA,52.357553,4.944911
1098WJ,52.344479,4.949763
1098XB,52.357128,4.944868
1033WG,52.419654,4.8809580000000015
2132ZW,52.301631,4.690674
2132TZ,52.301771,4.695089
2132ZX,52.301665,4.690112999999998
2132ZS,52.300756,4.69001
2132ZT,52.300732,4.692735
2132AZ,52.305364000000004,4.697635
2371HM,52.204612,4.6319300000000005
2371DJ,52.201817,4.633104
2371RO,12.194274,-68.249092
2371XM,52.20309500000001,4.630859
1165GG,52.383378,4.753557
